Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Nikka Yoichi Single Cask #7","11 yrs","1990","Nikka","Nikka","N/A","62.2","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Jefferson's Straight Rye Whiskey","10 yrs","N/A","McLain & Kyne","McLain & Kyne","$35","47","Canada","Better Stores","Canada","Canadian","Other",
"Eagle Rare 17 (2005)","17 yrs","1988","Buffalo Trace","Buffalo Trace","$70","45","Kentucky","Wide","USA","American","Bourbon",
"Kavalan Solist Vinho Barrique","N/A","N/A","Kavalan","King Car","$125","57","N/A","Overseas Specialty","Taiwan","World","Single Malt",
"Larceny","N/A","N/A","Heaven Hill","Heaven Hill","$23","46","Kentucky","Wide","USA","American","Bourbon",
"Aberlour 1993 NC2","16 yrs","1993","Aberlour","Duncan Taylor","$70","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Bunnahabhain 25","25 yrs","N/A","Bunnahabhain","Bunnahabhain","$290","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenrothes John Ramsay Legacy","N/A","N/A","Glenrothes","Glenrothes","$900","46.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"George Dickel Barrel Select","10 yrs","N/A","George Dickel ","George Dickel ","$37","43","Tennessee","Better Stores","USA","American","Tennessee",
"Lochside 1966 Celtic Heartlands","38 yrs","1966","Lochside","Murray McDavid ","N/A","45.6","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Penderyn Peated","NAS yrs","N/A","Penderyn","Penderyn","$80","46","N/A","Wide","Wales","World","Other",
"Johnnie Walker Blue ","N/A","N/A","Johnnie Walker","Johnnie Walker","$175","40","N/A","Wide","Scotland","Scotch","Blend",
"Highland Park 1991 Signatory","16 yrs","1991","Highland Park","Signatory","$70","46","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Longmorn-Glenlivet 1971 Scott's Selection","33 yrs","1971","Longmorn","Scott's Selection","$200","53.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glencadam 1974 D&M Aficionados Club","31 yrs","1974","Glencadam","D&M Aficionados Club","N/A","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Elgin 12 Flora & Fauna","12 yrs","N/A","Glen Elgin","Glen Elgin","$110","43","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Dufftown 1985 Signatory","17 yrs","1985","Dufftown-Glenlivet","Signatory","$130","56.6","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Michter's Original Sour Mash","N/A","N/A","Michter's Distillery","Chatham Imports","$45","43","Kentucky","Better Stores","USA","American","Other",
"BenRiach 1991 Gaja Barolo Finish (D&M)","17 yrs","1991","BenRiach","BenRiach","$120","57.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Cutty Sark 18","18 yrs","N/A","Cutty Sark","Cutty Sark","$76","43","N/A","Overseas Specialty","Scotland","Scotch","Blend",
"Clynelish  1976 Murray McDavid Mission","28 yrs","1976","Clynelish","Murray McDavid","N/A","46","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Mannochmore 1982 SMWS 64.11","23 yrs","1982","Gordon & MacPhail","The Scotch Malt Whisky Society","N/A","62.2","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"anCnoc 12","12 yrs","N/A","anCnoc","anCnoc","$27","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Deanston 1977 Cadenhead's","17 yrs","1977","Deanston","Cadenhead","$103","55","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Islay Mist","NA yrs","N/A","Arran","MacDuff International","$23","40","Islay","Overseas Specialty","Scotland","Scotch","Blend",
"Oban 12 (Circa 1980's)","12 yrs","N/A","Oban","Oban","N/A","40","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glenallachie 1974 The Whisky Exchange","N/A","1974","Glenallachie","The Whisky Exchange","$200","49.4","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Yellow Spot","12 yrs","N/A","Yellow Spot","Mitchell & Sons","$90","46","Ireland","Overseas Specialty","Ireland","Irish","Pure Pot Still",
"Cabin Still (1980s)","N/A","N/A","Bardstown","Cabin Stil","N/A","40","Kentucky","Collectors Only","USA","American","Bourbon",
"Eagle Rare 17 (2011)","18 yrs","1993","Buffalo Trace","Buffalo Trace","$80","0","Kentucky","Better Stores","USA","American","Bourbon",
"Russell's Reserve Rye","6 yrs","N/A","Wild Turkey","Wild Turkey","$27","45","Kentucky","Better Stores","USA","American","Rye",
"Glen Grant 1972 Berry's Own Selection","34 yrs","1972","Glen Grant","Berry Bros & Rudd","$300","51","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenlivet 1987 Duncan Taylor NC2","22 yrs","1987","Glenlivet","Duncan Taylor","$80","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Blairfindy 1976 Blackadder","24 yrs","1976","Blairfindy","Blackadder","N/A","51.1","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Brora 1978 SMWS 61.6","18 yrs","1978","Brora","The Scotch Malt Whisky Society","N/A","60.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Compass Box Hedonism 2nd Edition","N/A","N/A","Compass Box","Compass Box","N/A","43","N/A","Collectors Only","Scotland","Scotch","Blend",
"Balvenie 8 (Circa 1970's)","8 yrs","N/A","Balvenie","Balvenie","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Sazerac 18 Fall 2007","18 yrs","1985","Buffalo Trace","Buffalo Trace","N/A","45","Kentucky","Specialty Stores","USA","American","Rye",
"Usquaebach Reserve","N/A","N/A","Usquaebach","Cobalt Brands / Twenty Oaks Ltd","$45","43","N/A","Better Stores","Scotland","Scotch","Blend",
"Mackmyra Reserve 2007","1 yrs","2007","Mackmyra","Mackmyra","N/A","57","N/A","Overseas Specialty","Sweeden","World","Other",
"Lochnagar 1990 Old Malt Cask","15 yrs","1990","Lochnagar","Douglas Laing","$105","50","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 18 (1987)","18 yrs","1987","Macallan","Macallan","$140","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Royal Lochnagar 1977 Norse Cask","29 yrs","1977","Royal Lochnager","Norse Cask","N/A","50.4","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glengoyne Ewan's Choice","19 yrs","1986","Glengoyne","Glengoyne","$185","51.5","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"BenRiach 21 Authenticus","21 yrs","N/A","BenRiach","BenRiach","$140","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Campbeltown Loch 25","25 yrs","N/A","Campbeltown Loch","Campbeltown Loch","N/A","40","Campbeltown","Collectors Only","Scotland","Scotch","Blend",
"Caol Ila 1981 Duncan Taylor","27 yrs","1981","Caol Ila","Duncan Taylor","$210","53.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfarclas 105 (late 1990's)","N/A","N/A","Glenfarclas","Glenfarclas","N/A","60","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Tyrconnell 10 Sherry Cask ","10 yrs","N/A","Cooley","Cooley","$60","46","Ireland","Better Stores","Ireland","Irish","Single Malt",
"Evan Williams Single Barrel 1990","N/A","1990","Heaven Hill","Heaven Hill","N/A","43.3","Kentucky","Collectors Only","USA","American","Bourbon",
"Old Crow Bottle in Bond (Late 1970's)","N/A","N/A","Old Crow Distillery","Old Crow Distillery","N/A","50","N/A","Collectors Only","USA","American","Bourbon",
"Bunnahabhain 1998 Adelphi","11 yrs","1998","Bunnahabhain","Adelphi","$80","53.4","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Arran 14 (2010)","14 yrs","2010","Arran","Arran","$70","46","Island","Better Stores","Scotland","Scotch","Single Malt",
"Old Taylor 6 (1990's)","6 yrs","N/A","Jim Beam","Jim Beam","N/A","40","Kentucky","Collectors Only","USA","American","Bourbon",
"Imperial 1995 Signatory Vintage","15 yrs","1995","The Imperial Distillery","Signatory","$65","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig 1992 Old Malt Cask","16 yrs","1992","Laphroaig","Douglas Laing","$100","50","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"High West 21","21 yrs","N/A","High West","High West","$135","46","Kentucky","Specialty Stores","USA","American","Rye",
"Willett 18 yo Barrel B44 (D&M)","18 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","47","Kentucky","Specialty Stores","USA","American","Bourbon",
"Laphroaig 1991 Signatory","15 yrs","1991","Laphroaig","Signatory","$135","53.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Forester Repeal","N/A","N/A","Brown-Forman","Brown-Forman","$30","50","Kentucky","Collectors Only","USA","American","Bourbon",
"Dalmore 1971 Glenhaven","23 yrs","1971","Dalmore","Glenhaven","N/A","58.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glenlivet 30 Single Malts of Scotland","30 yrs","N/A","Glenlivet","Speciality Drinks Ltd","$115","55.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bowmore Legend","N/A","N/A","Bowmore","Bowmore","$30","40","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Port Ellen 12th Release","32 yrs","1979","Port Ellen","Port Ellen","N/A","52.5","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Lagavulin Feis Ile 2012","14 yrs","1998","Lagavulin","Lagavulin","N/A","55.1","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Deanston 12","12 yrs","N/A","Deanston","Deanston","$34","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Ben Nevis 1992 Signatory 17yo","17 yrs","1992","Ben Nevis","Signatory ","$130","56","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Macduff 1971 Glenhaven","24 yrs","1971","Macduff","Glenhaven","N/A","53","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Bruichladdich Infinity 3rd Edition","N/A","N/A","Bruichladdich","Bruichladdich","$85","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg Galileo","12 yrs","1999","Ardbeg","Ardbeg","$90","49","Islay","Wide","Scotland","Scotch","Single Malt",
"Glen Mhor 1976 Rare Malts","28 yrs","1976","Glen Mhor","Glen Mhor","$140","51.9","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Rosebank 15 (1980's)","15 yrs","N/A","Rosebank","Rosebank","N/A","61","Lowland","Collectors Only","Scotland","Scotch","Single Malt",
"Nikka Single Coffey Malt 12 yo","12 yrs","N/A","Nikka","Nikka","$150","55","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Caperdonich Batch 2 That Boutique-y Whisky Company","N/A","N/A","Caperdonich","That Boutique-y Whisky Company","$116","46.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Dallas Dhu 1979 Cadenhead's Chairman's Stock","27 yrs","1979","Dallas Dhu","Cadenhead","N/A","59.2","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Rittenhouse Rye 100 Proof","N/A","N/A","Rittenhouse","Heaven Hill","$20","50","Kentucky","Wide","USA","American","Rye",
"Glenrothes 1998 Chieftain's","12 yrs","1998","Glenrothes","Ian Macleod","$65","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Invergordon 12 Cadenhead's","12 yrs","1985","Invergordon","Cadenhead","$120","65.3","Highland","Specialty Stores","Scotland","Scotch","Grain",
"Compass Box Asyla","N/A","N/A","Compass Box","Compass Box","$35","40","N/A","Wide","Scotland","Scotch","Blend",
"Glenfiddich 1982 Craigellachie Hotel","N/A","1982","Glenfiddich","Glenfiddich","N/A","58.7","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Suntory Reserve (late 1970's)","N/A","N/A","Suntory","Suntory","N/A","43","Japan","Collectors Only","Japan","Japanese","Blend",
"Ardbeg 1992 Old Malt Cask","12 yrs","1992","Ardbeg","Douglas Laing","$100","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 1985 Malt Trust","22 yrs","1985","Macallan","Malt Trust","N/A","53.6","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Willett 16 yo Barrel 18","16 yrs","1993","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$116","69.1","Kentucky","Specialty Stores","USA","American","Bourbon",
"Port Ellen 1982 Signatory (Cask 1202)","26 yrs","1982","Port Ellen","Signatory","N/A","54.1","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila 1990 Signatory (Binny's)","14 yrs","1990","Caol Ila","Signatory ","$57","56.2","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Knappogue Castle 1994","N/A","1994","The Old Bushmills  Distillery Company","Castle Brands","$30","40","Ireland","Better Stores","Ireland","Irish","Single Malt",
"Evan Williams Single Barrel 1989","N/A","1989","Heaven Hill","Heaven Hill","N/A","43.3","Kentucky","Collectors Only","USA","American","Bourbon",
"Bunnahabhain Jubilee Malt (for The Whisky Barrel)","21 yrs","N/A","Bunnahabhain","The Whisky Barrel","N/A","54.4","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Bunnahabhain 1991 MacPhail's Collection","N/A","1991","Bunnahabhain","Gordon & MacPhail","$50","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Benrinnes SMWS 36.37","14 yrs","1993","Benrinnes","The Scotch Malt Whisky Society","$110","56.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Hooker's House Bourbon","4 yrs","N/A","Prohibition Spirits","Prohibition Spirits","$36","50","Kentucky","Specialty Stores","USA","American","Bourbon",
"Mannochmore 1991 Signatory","16 yrs","1991","Gordon & MacPhail","Signatory","$105","56.3","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Clynelish 1972 G&M","37 yrs","1972","Clynelish","Gordon & MacPhail","$300","58.9","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Four Roses (Yellow Label)","N/A","N/A","Four Roses ","Four Roses ","$22","40","Kentucky","Better Stores","USA","American","Bourbon",
"Knob Creek Single Barrel","9 yrs","N/A","Jim Beam","Jim Beam","$40","60","Kentucky","Wide","USA","American","Bourbon",
"Glenfarclas 43y Cognac Cask","43 yrs","N/A","Glenfarclas","Glenfarclas","$700","0","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Ardbeg 1972 Silver Seal (First Bottling)","28 yrs","1972","Ardbeg","Silver Seal","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenugie 1977 Signatory (#2)","33 yrs","1977","Glenugie","Signatory","$300","57.2","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Large Monongahela Pure Rye","4 yrs","1913","Large Monongahela","Large Monongahela","N/A","50","Pennsylvania","Collectors Only","USA","American","Rye",
"Caol Ila 1984 Adelphi","21 yrs","1984","Caol Ila","Adelphi","$190","59.2","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"MacPhail's 15","15 yrs","N/A","Gordon & MacPhail","Gordon & MacPhail","$40","40","N/A","Specialty Stores","Scotland","Scotch","Single Malt",
"Very Old Fitzgerald (1948)","8 yrs","1948","Stitzel-Weller","Stitzel-Weller","N/A","50","Kentucky","Collectors Only","USA","American","Bourbon",
"Banff 1976 Cadenhead's","21 yrs","1976","Banff","Cadenhead","$145","57.3","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 189","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Hibiki 12","12 yrs","N/A","Suntory","Suntory","$55","43","Japan","Better Stores","Japan","Japanese","Blend",
"Glen Albyn 1974 Blackadder","30 yrs","1974","Glen Albyn","Blackadder","$180","58.1","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Longmorn 1990 Single Malts of Scotland","15 yrs","1990","Longmorn","Speciality Drinks Ltd","$85","60.4","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glendullan 1993 Murray McDavid","14 yrs","1993","Glendullan","Murray McDavid","$60","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Croftengea 1997 Distillery Select","9 yrs","1997","Loch Lomond","Distillery Select","$67","45","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Balvenie 21 Portwood","21 yrs","N/A","Balvenie","Balvenie","$120","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Parker's Heritage Collection Second Edition","27 yrs","N/A","Heaven Hill","Heaven Hill","$200","48","Kentucky","Specialty Stores","USA","American","Bourbon",
"Four Roses Single Barrel OBSV (The Bourbon Society)","N/A","N/A","Four Roses ","Four Roses ","N/A","50","Kentucky","Collectors Only","USA","American","Bourbon",
"Glenturret 1965 Cadenhead's","25 yrs","1965","Glenturret","Cadenhead","N/A","52.4","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glenmorangie Artein","15 yrs","N/A","Glenmorangie","Glenmorangie","$80","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Teacher's Highland Cream (1950s Bottling)","N/A","N/A","Teacher's","Teacher's","$260","43","N/A","Collectors Only","Scotland","Scotch","Blend",
"Macallan 18 (1986)","18 yrs","1986","Macallan","Macallan","$140","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Port Ellen 1974 Gordon & MacPhail","17 yrs","1974","Port Ellen","Gordon & MacPhail","$350","40","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Urquhart","N/A","N/A","Glen Urquhart","Gordon & MacPhail","N/A","43","N/A","Collectors Only","Scotland","Scotch","Blend",
"Auchentoshan 10","10 yrs","N/A","Auchentoshan","Auchentoshan","$40","40","Lowland","Better Stores","Scotland","Scotch","Single Malt",
"Auchentoshan 21","21 yrs","N/A","Auchentoshan","Auchentoshan","$140","43","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Teaninich 12 Jewels of Scotland","12 yrs","N/A","Teaninich","Lombard","$40","40","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Caperdonich 1968 Connoisseurs Choice","27 yrs","1968","Caperdonich","Gordon & MacPhail","N/A","0","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfarclas 1972 Family Casks (No. 3551)","N/A","1972","Glenfarclas","Glenfarclas","$600","44.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 1967 Signatory","30 yrs","1967","Ardbeg","Signatory","N/A","52.2","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park Bicentenary","21 yrs","1977","Highland Park","Highland Park","N/A","43","N/A","Wide","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 152","8 yrs","2003","Buffalo Trace","Buffalo Trace","$45","46","Kentucky","Specialty Stores","USA","American","Bourbon",
"Potter's Whiskey","N/A","N/A","Frank-lin Distillers Products","Frank-lin Distillers Products","$14","40","California","Wide","USA","American","Other",
"Benrinnes 1999 SMWS 36.46","10 yrs","1999","Benrinnes","The Scotch Malt Whisky Society","$90","58.8","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Clynelish 1982 A.D. Rattray K&L","27 yrs","1982","Clynelish","A.D. Rattray","$115","60.1","Highland","Collectors Only","Scotland","Scotch","Single Malt",
